Crop_Name,Category,Avg_Harvest_Days,Market_Demand,Home_Growable,Health_Benefit,Intercropping_Possibility
Coriander,Herb/Medicinal,137,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Cardamom,Spice,295,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Late-Maturing Castor,Oilseed,126,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Cold-Tolerant Tobacco,Cash/Plantation,312,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Parsley,Herb/Medicinal,111,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Sorghum,Grain,144,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
Pomegranate,Fruit,288,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
High-Yield Cucumber,Vegetable,83,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Local Brinjal,Vegetable,108,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Rubber,Cash/Plantation,409,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Heat-Tolerant Lettuce,Vegetable,61,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Rubber,Cash/Plantation,450,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
High-Yield Barley,Grain,103,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
Cucumber,Vegetable,104,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Hybrid Custard Apple,Fruit,291,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Dwarf Lentil,Pulse,81,High,Yes,Protein source,Yes - fixes nitrogen; compatible with cereals or short-duration vegetables
High-Yield Coffee,Cash/Plantation,429,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Bottle Gourd,Vegetable,110,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Linseed,Oilseed,110,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
High-Yield Kidney Bean,Vegetable,101,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Snake Gourd,Vegetable,98,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Oats,Grain,118,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
Black Gram,Vegetable,46,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Heat-Tolerant Turmeric,Spice,235,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Early-Maturing Cauliflower,Vegetable,112,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Heat-Tolerant Apple,Fruit,317,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Rice,Grain,100,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
Ridge Gourd,Vegetable,67,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Cabbage,Vegetable,103,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Jackfruit,Fruit,159,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Cowpea,Pulse,72,High,Yes,Protein source,Yes - fixes nitrogen; compatible with cereals or short-duration vegetables
Apple,Fruit,132,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Basil,Herb/Medicinal,177,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
High-Yield Coriander,Herb/Medicinal,60,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Early-Maturing Maize,Grain,142,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
Pear,Fruit,290,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Green Gram,Vegetable,78,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Heat-Tolerant Strawberry,Fruit,251,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Cold-Tolerant Rubber,Cash/Plantation,517,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Barley,Grain,158,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
Heat-Tolerant Thyme,Herb/Medicinal,164,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
High-Yield Cabbage,Vegetable,74,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Cold-Tolerant Jute,Cash/Plantation,345,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Carrot,Vegetable,98,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Banana,Fruit,285,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Hybrid Jackfruit,Fruit,243,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Wheat,Grain,143,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
Cabbage,Vegetable,106,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Rice,Grain,147,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
Groundnut,Oilseed,132,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Groundnut,Oilseed,110,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Heat-Tolerant Aloe Vera,Vegetable,106,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Beetroot,Vegetable,120,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Carrot,Vegetable,85,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Pigeon Pea,Vegetable,102,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Late-Maturing Garlic,Spice,120,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Clove,Spice,193,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Local Custard Apple,Fruit,346,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Fenugreek,Vegetable,117,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Tulsi,Herb/Medicinal,75,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Organic Tulsi,Herb/Medicinal,163,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Early-Maturing Turmeric,Spice,228,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Kidney Bean,Vegetable,102,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Mint,Herb/Medicinal,70,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
High-Yield Snake Gourd,Vegetable,89,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Heat-Tolerant Cabbage,Vegetable,111,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Grapes,Fruit,162,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Late-Maturing Carrot,Vegetable,107,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
High-Yield Horse Gram,Vegetable,117,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Aloe Vera,Vegetable,54,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Early-Maturing Soybean,Oilseed,159,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Dill,Herb/Medicinal,125,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Organic Groundnut,Oilseed,133,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Dwarf Coriander Seed,Vegetable,65,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Blueberry,Fruit,122,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Okra,Vegetable,53,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Early-Maturing Turmeric,Spice,247,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Hybrid Wheat,Grain,112,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
Spinach,Vegetable,66,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Heat-Tolerant Bay Leaf,Vegetable,68,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Cold-Tolerant Finger Millet,Vegetable,82,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Custard Apple,Fruit,103,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Ginger,Spice,266,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Groundnut,Oilseed,125,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Lentil,Pulse,87,High,Yes,Protein source,Yes - fixes nitrogen; compatible with cereals or short-duration vegetables
Guava,Fruit,318,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Groundnut,Oilseed,116,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Parsley,Herb/Medicinal,93,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Dwarf Jackfruit,Fruit,174,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Green Gram,Vegetable,110,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Turmeric,Spice,209,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Cinnamon,Spice,204,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Cold-Tolerant Papaya,Fruit,119,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Heat-Tolerant Tea,Cash/Plantation,398,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Bottle Gourd,Vegetable,54,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Rosemary,Herb/Medicinal,74,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Early-Maturing Sesame,Oilseed,131,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Coffee,Cash/Plantation,479,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Rosemary,Herb/Medicinal,102,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Cumin,Spice,170,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Hybrid Finger Millet,Vegetable,62,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Bitter Gourd,Vegetable,67,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Pearl Millet,Vegetable,73,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Black Pepper,Vegetable,45,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Organic Cardamom,Spice,276,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
High-Yield Finger Millet,Vegetable,82,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Coconut,Fruit,190,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Oats,Grain,113,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
Late-Maturing Oats,Grain,102,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
Early-Maturing Black Gram,Vegetable,89,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
High-Yield Radish,Vegetable,53,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Organic Chilli,Vegetable,66,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Hybrid Wheat,Grain,105,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
Early-Maturing Horse Gram,Vegetable,74,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Tea,Cash/Plantation,463,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Heat-Tolerant Wheat,Grain,111,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
Blueberry,Fruit,304,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Heat-Tolerant Papaya,Fruit,257,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Dwarf Cucumber,Vegetable,117,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Cold-Tolerant Jute,Cash/Plantation,393,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Pearl Millet,Vegetable,56,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Bay Leaf,Vegetable,117,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Groundnut,Oilseed,115,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Pigeon Pea,Vegetable,89,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Kidney Bean,Vegetable,112,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Pomegranate,Fruit,193,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Early-Maturing Sesame,Oilseed,132,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Soybean,Oilseed,110,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Cumin,Spice,227,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Cold-Tolerant Aloe Vera,Vegetable,82,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Cold-Tolerant Cowpea,Pulse,105,High,Yes,Protein source,Yes - fixes nitrogen; compatible with cereals or short-duration vegetables
Heat-Tolerant Barley,Grain,110,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
Lentil,Pulse,153,High,Yes,Protein source,Yes - fixes nitrogen; compatible with cereals or short-duration vegetables
High-Yield Cocoa,Cash/Plantation,468,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Late-Maturing Lemongrass,Herb/Medicinal,143,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Local Green Gram,Vegetable,49,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Black Gram,Vegetable,101,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Methi,Vegetable,59,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Sorghum,Grain,160,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
High-Yield Soybean,Oilseed,112,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Late-Maturing Potato,Vegetable,57,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Snake Gourd,Vegetable,85,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Organic Strawberry,Fruit,229,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Aloe Vera,Vegetable,93,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Lime,Fruit,202,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Cowpea,Pulse,101,High,Yes,Protein source,Yes - fixes nitrogen; compatible with cereals or short-duration vegetables
Hybrid Rubber,Cash/Plantation,422,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Heat-Tolerant Coriander,Herb/Medicinal,34,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Early-Maturing Pomegranate,Fruit,278,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Late-Maturing Pineapple,Fruit,248,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Dwarf Kidney Bean,Vegetable,73,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Late-Maturing Coriander,Herb/Medicinal,94,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Late-Maturing Coriander,Herb/Medicinal,31,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Heat-Tolerant Ridge Gourd,Vegetable,114,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Pearl Millet,Vegetable,65,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Heat-Tolerant Cowpea,Pulse,83,High,Yes,Protein source,Yes - fixes nitrogen; compatible with cereals or short-duration vegetables
Wheat,Grain,93,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
Cumin,Spice,198,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Garlic,Spice,283,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Cold-Tolerant Apple,Fruit,95,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Peas,Vegetable,98,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Ginger,Spice,139,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Lentil,Pulse,88,High,Yes,Protein source,Yes - fixes nitrogen; compatible with cereals or short-duration vegetables
Early-Maturing Castor,Oilseed,100,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Local Coriander,Herb/Medicinal,126,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Pineapple,Fruit,211,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Onion,Vegetable,87,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Dwarf Cocoa,Cash/Plantation,502,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Cinnamon,Spice,229,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Apple,Fruit,209,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Cold-Tolerant Mango,Fruit,253,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Heat-Tolerant Grapes,Fruit,168,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Local Wheat,Grain,153,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
Banana,Fruit,136,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Hybrid Cotton,Cash/Plantation,495,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Maize,Grain,154,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
Chickpea,Pulse,153,High,Yes,Protein source,Yes - fixes nitrogen; compatible with cereals or short-duration vegetables
Cold-Tolerant Banana,Fruit,139,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Organic Coriander,Herb/Medicinal,130,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Groundnut,Oilseed,149,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Organic Tulsi,Herb/Medicinal,121,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Papaya,Fruit,302,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Sunflower,Oilseed,110,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Lettuce,Vegetable,87,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Cold-Tolerant Saffron,Spice,285,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
High-Yield Okra,Vegetable,95,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Dwarf Jackfruit,Fruit,110,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Tobacco,Cash/Plantation,300,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Tea,Cash/Plantation,356,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Early-Maturing Sapota,Fruit,280,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Thyme,Herb/Medicinal,113,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Pear,Fruit,252,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Heat-Tolerant Brinjal,Vegetable,57,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
High-Yield Garlic,Spice,147,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Ginger,Spice,194,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Mango,Fruit,258,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Late-Maturing Sugarcane,Cash/Plantation,305,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Jute,Cash/Plantation,334,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Local Pomegranate,Fruit,365,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Onion,Vegetable,103,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Hybrid Castor,Oilseed,158,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Cold-Tolerant Castor,Oilseed,126,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Guava,Fruit,144,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Late-Maturing Horse Gram,Vegetable,83,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Clove,Spice,242,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Bay Leaf,Vegetable,103,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Dwarf Tulsi,Herb/Medicinal,47,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Linseed,Oilseed,145,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Hybrid Cucumber,Vegetable,67,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Early-Maturing Horse Gram,Vegetable,96,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
High-Yield Lentil,Pulse,87,High,Yes,Protein source,Yes - fixes nitrogen; compatible with cereals or short-duration vegetables
Early-Maturing Cucumber,Vegetable,63,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Hybrid Carrot,Vegetable,79,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Late-Maturing Radish,Vegetable,113,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Hybrid Coffee,Cash/Plantation,355,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Dwarf Chickpea,Pulse,106,High,Yes,Protein source,Yes - fixes nitrogen; compatible with cereals or short-duration vegetables
Mustard Seed,Vegetable,76,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Early-Maturing Cinnamon,Spice,134,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Local Garlic,Spice,232,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Dwarf Cocoa,Cash/Plantation,335,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Cumin,Spice,141,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Saffron,Spice,294,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Kidney Bean,Vegetable,105,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Dill,Herb/Medicinal,170,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Early-Maturing Okra,Vegetable,75,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
High-Yield Mango,Fruit,133,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Barley,Grain,160,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
Local Ginger,Spice,145,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Fenugreek,Vegetable,76,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Early-Maturing Pearl Millet,Vegetable,50,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Coconut,Fruit,311,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Tea,Cash/Plantation,479,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Late-Maturing Linseed,Oilseed,108,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Pineapple,Fruit,163,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Kidney Bean,Vegetable,110,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Late-Maturing Custard Apple,Fruit,167,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Organic Sunflower,Oilseed,154,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
High-Yield Black Gram,Vegetable,88,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Black Gram,Vegetable,52,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Organic Clove,Spice,123,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
